DOS (a.u.),Energy (meV)
0.0223,0
0.023,3
0.025,9.374996223
0.02738794,15.78376459
0.029790821,24.12839108
0.035798023,32.61259985
0.041805226,38.94128896
0.046310628,44.41237204
0.056823232,51.29755942
0.082854443,57.49909983
0.134015784,58.88218556
0.167355758,58.94519486
0.199327425,58.96057213
0.103593594,58.96635306
0.058825633,59.5035207
0.039904988,62.41635883
0.039263717,67.73927368
0.047505938,72.19853586
0.077548081,75.31458484
0.111889255,77.34564041
0.143927668,78.74275056
0.17096008,78.93796649
0.115914489,80.742861
0.097371849,83.10720385
0.082353843,90.34768639
0.086859245,101.9788946
0.104880852,108.6921074
0.07709754,108.9654451
0.031353919,109.6842167
0.026787219,116.8278255
0.021638189,124.424239
0.023783618,133.5467792
0.02878962,139.6984767
0.035798023,146.7761925
0.051061221,149.9983503
0.028503563,153.8945128
0.038801624,155.9180664
0.045605701,161.4722345
0.056823232,165.6479885
0.084189377,169.3885829
0.119898858,171.4248704
0.156800245,172.9471721
0.256729582,173.1686146
0.292439064,173.2103971
0.222355035,173.3064946
0.319638342,173.3734804
0.187980487,173.3908185
0.129767834,175.690829
0.09887365,179.738889
0.081311777,185.7532534
0.12290246,192.3305819
0.176967282,192.4727799
0.155942073,192.5249287
0.077909739,196.5007456
0.128909662,199.6536903
0.161949276,199.8253724
0.19498889,200.0197192
0.228028504,200.0554123
0.261068117,200.0684406
0.294107731,200.0814688
0.327147345,200.094497
0,200.1045643
