B,I,T,VG,Vxx,Vxy
3.0005,1.05e-08,1.869,-10,6.05e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.97997998,8.18e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.95995996,6.9e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.93993994,7.6e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.91991992,8.53e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.8998999,6.54e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.87987988,5.23e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.85985986,7.83e-07,-2.91e-05
3.0005,1.05e-08,1.793,-9.83983984,9.51e-07,-2.96e-05
3.0005,1.05e-08,1.793,-9.81981982,9.47e-07,-2.96e-05
3.0005,1.05e-08,1.793,-9.7997998,1.09e-06,-3e-05
3.0005,1.05e-08,1.793,-9.77977978,9.31e-07,-2.96e-05
3.0005,1.05e-08,1.793,-9.75975976,1.06e-06,-3e-05
3.0005,1.05e-08,1.793,-9.73973974,1.21e-06,-3e-05
3.0005,1.05e-08,1.793,-9.71971972,1.22e-06,-3e-05
3.0005,1.05e-08,1.793,-9.6996997,1.23e-06,-3e-05
3.0005,1.05e-08,1.793,-9.67967968,1.22e-06,-3e-05
3.0005,1.05e-08,1.793,-9.65965966,1.13e-06,-3e-05
3.0005,1.05e-08,1.793,-9.63963964,1.12e-06,-3e-05
3.0005,1.05e-08,1.793,-9.61961962,1.1e-06,-3.05e-05
3.0005,1.05e-08,1.793,-9.5995996,8.39e-07,-3.05e-05
3.0005,1.05e-08,1.793,-9.57957958,1.06e-06,-3.1e-05
3.0005,1.05e-08,1.793,-9.55955956,8.86e-07,-3.1e-05
3.0005,1.05e-08,1.793,-9.53953954,7.94e-07,-3.1e-05
3.0005,1.05e-08,1.793,-9.51951952,1.01e-06,-3.1e-05
3.0005,1.05e-08,1.793,-9.499499499,7.64e-07,-3.1e-05
3.0005,1.05e-08,1.793,-9.479479479,7.65e-07,-3.1e-05
3.0005,1.05e-08,1.793,-9.459459459,9.66e-07,-3.15e-05
3.0005,1.05e-08,1.793,-9.439439439,7.14e-07,-3.15e-05
3.0005,1.04e-08,1.793,-9.419419419,7.75e-07,-3.15e-05
3.0005,1.05e-08,1.793,-9.399399399,8.31e-07,-3.15e-05
3.0005,1.05e-08,1.793,-9.379379379,8.94e-07,-3.15e-05
3.0005,1.05e-08,1.793,-9.359359359,8.57e-07,-3.15e-05
3.0005,1.05e-08,1.793,-9.339339339,1.1e-06,-3.15e-05
3.0005,1.05e-08,1.793,-9.319319319,1.2e-06,-3.19e-05
3.0005,1.05e-08,1.793,-9.299299299,1.34e-06,-3.19e-05
3.0005,1.05e-08,1.793,-9.279279279,1.47e-06,-3.19e-05
3.0005,1.05e-08,1.793,-9.259259259,1.4e-06,-3.19e-05
3.0005,1.05e-08,1.793,-9.239239239,1.43e-06,-3.19e-05
3.0005,1.05e-08,1.793,-9.219219219,1.72e-06,-3.24e-05
3.0005,1.05e-08,1.793,-9.199199199,1.49e-06,-3.24e-05
3.0005,1.05e-08,1.793,-9.179179179,1.76e-06,-3.24e-05
3.0005,1.05e-08,1.793,-9.159159159,1.66e-06,-3.24e-05
3.0005,1.05e-08,1.793,-9.139139139,1.78e-06,-3.24e-05
3.0005,1.05e-08,1.793,-9.119119119,2.04e-06,-3.29e-05
3.0005,1.05e-08,1.793,-9.099099099,1.94e-06,-3.34e-05
3.0005,1.05e-08,1.793,-9.079079079,1.8e-06,-3.29e-05
3.0005,1.05e-08,1.793,-9.059059059,2.06e-06,-3.34e-05
3.0005,1.05e-08,1.793,-9.039039039,2.15e-06,-3.34e-05
3.0005,1.05e-08,1.793,-9.019019019,1.95e-06,-3.29e-05
3.0005,1.05e-08,1.793,-8.998998999,2.19e-06,-3.34e-05
3.0005,1.05e-08,1.793,-8.978978979,2e-06,-3.34e-05
3.0005,1.05e-08,1.793,-8.958958959,1.89e-06,-3.34e-05
3.0005,1.04e-08,1.793,-8.938938939,1.98e-06,-3.34e-05
3.0005,1.05e-08,1.793,-8.918918919,2.01e-06,-3.39e-05
3.0005,1.05e-08,1.793,-8.898898899,2e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.878878879,1.82e-06,-3.39e-05
3.0005,1.05e-08,1.793,-8.858858859,2.05e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.838838839,1.69e-06,-3.39e-05
3.0005,1.05e-08,1.793,-8.818818819,1.86e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.798798799,1.81e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.778778779,1.64e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.758758759,1.79e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.738738739,1.79e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.718718719,2.04e-06,-3.48e-05
3.0005,1.05e-08,1.793,-8.698698699,1.92e-06,-3.43e-05
3.0005,1.05e-08,1.793,-8.678678679,2.19e-06,-3.53e-05
3.0005,1.05e-08,1.793,-8.658658659,2e-06,-3.48e-05
3.0005,1.05e-08,1.793,-8.638638639,2.12e-06,-3.53e-05
3.0005,1.05e-08,1.793,-8.618618619,1.98e-06,-3.53e-05
3.0005,1.05e-08,1.793,-8.598598599,1.81e-06,-3.58e-05
3.0005,1.05e-08,1.793,-8.578578579,1.74e-06,-3.58e-05
3.0005,1.05e-08,1.793,-8.558558559,1.69e-06,-3.58e-05
3.0005,1.05e-08,1.793,-8.538538539,1.77e-06,-3.58e-05
3.0005,1.05e-08,1.793,-8.518518519,1.83e-06,-3.62e-05
3.0005,1.05e-08,1.793,-8.498498498,1.61e-06,-3.62e-05
3.0005,1.05e-08,1.793,-8.478478478,1.52e-06,-3.62e-05
3.0005,1.05e-08,1.793,-8.458458458,1.79e-06,-3.67e-05
3.0005,1.05e-08,1.793,-8.438438438,1.55e-06,-3.67e-05
3.0005,1.05e-08,1.793,-8.418418418,1.81e-06,-3.67e-05
3.0005,1.05e-08,1.793,-8.398398398,1.93e-06,-3.67e-05
3.0005,1.05e-08,1.793,-8.378378378,1.79e-06,-3.67e-05
3.0005,1.05e-08,1.793,-8.358358358,2.06e-06,-3.72e-05
3.0005,1.05e-08,1.793,-8.338338338,1.96e-06,-3.67e-05
3.0005,1.05e-08,1.793,-8.318318318,2.16e-06,-3.77e-05
3.0005,1.05e-08,1.793,-8.298298298,1.89e-06,-3.72e-05
3.0005,1.05e-08,1.793,-8.278278278,1.79e-06,-3.77e-05
3.0005,1.05e-08,1.793,-8.258258258,1.83e-06,-3.77e-05
3.0005,1.05e-08,1.793,-8.238238238,1.54e-06,-3.77e-05
3.0005,1.05e-08,1.793,-8.218218218,1.77e-06,-3.77e-05
3.0005,1.05e-08,1.793,-8.198198198,1.65e-06,-3.77e-05
3.0005,1.05e-08,1.793,-8.178178178,1.92e-06,-3.81e-05
3.0005,1.05e-08,1.793,-8.158158158,2.14e-06,-3.81e-05
3.0005,1.05e-08,1.793,-8.138138138,1.97e-06,-3.81e-05
3.0005,1.05e-08,1.793,-8.118118118,1.83e-06,-3.91e-05
3.0005,1.05e-08,1.793,-8.098098098,1.75e-06,-3.91e-05
3.0005,1.05e-08,1.793,-8.078078078,1.84e-06,-3.91e-05
3.0005,1.05e-08,1.793,-8.058058058,1.7e-06,-3.91e-05
3.0005,1.05e-08,1.793,-8.038038038,1.82e-06,-3.91e-05
3.0005,1.05e-08,1.793,-8.018018018,1.71e-06,-3.91e-05
3.0005,1.05e-08,1.793,-7.997997998,1.57e-06,-3.91e-05
3.0005,1.05e-08,1.793,-7.977977978,1.66e-06,-3.96e-05
3.0005,1.05e-08,1.793,-7.957957958,1.57e-06,-4.01e-05
3.0005,1.05e-08,1.793,-7.937937938,1.56e-06,-4.01e-05
3.0005,1.05e-08,1.793,-7.917917918,1.75e-06,-4.01e-05
3.0005,1.05e-08,1.793,-7.897897898,1.58e-06,-4.01e-05
3.0005,1.05e-08,1.793,-7.877877878,1.82e-06,-4.01e-05
3.0005,1.05e-08,1.793,-7.857857858,1.72e-06,-4.01e-05
3.0005,1.05e-08,1.793,-7.837837838,1.7e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.817817818,1.58e-06,-4.05e-05
3.0005,1.05e-08,1.793,-7.797797798,1.67e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.777777778,1.48e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.757757758,1.52e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.737737738,1.3e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.717717718,1.5e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.697697698,1.58e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.677677678,1.68e-06,-4.1e-05
3.0005,1.05e-08,1.793,-7.657657658,1.86e-06,-4.2e-05
3.0005,1.05e-08,1.793,-7.637637638,1.94e-06,-4.2e-05
3.0005,1.05e-08,1.793,-7.617617618,1.68e-06,-4.2e-05
3.0005,1.05e-08,1.793,-7.597597598,1.81e-06,-4.24e-05
3.0005,1.05e-08,1.793,-7.577577578,1.48e-06,-4.24e-05
3.0005,1.04e-08,1.793,-7.557557558,1.34e-06,-4.24e-05
3.0005,1.05e-08,1.793,-7.537537538,1.51e-06,-4.29e-05
3.0005,1.05e-08,1.793,-7.517517518,1.47e-06,-4.29e-05
3.0005,1.05e-08,1.793,-7.497497497,1.57e-06,-4.34e-05
3.0005,1.05e-08,1.793,-7.477477477,1.56e-06,-4.34e-05
3.0005,1.05e-08,1.793,-7.457457457,1.44e-06,-4.34e-05
3.0005,1.05e-08,1.793,-7.437437437,1.46e-06,-4.34e-05
3.0005,1.05e-08,1.793,-7.417417417,1.33e-06,-4.34e-05
3.0005,1.05e-08,1.793,-7.397397397,1.51e-06,-4.43e-05
3.0005,1.05e-08,1.793,-7.377377377,1.43e-06,-4.43e-05
3.0005,1.05e-08,1.793,-7.357357357,1.2e-06,-4.43e-05
3.0005,1.05e-08,1.793,-7.337337337,1.1e-06,-4.43e-05
3.0005,1.05e-08,1.793,-7.317317317,9.31e-07,-4.48e-05
3.0005,1.05e-08,1.793,-7.297297297,1.12e-06,-4.53e-05
3.0005,1.05e-08,1.793,-7.277277277,9.92e-07,-4.53e-05
3.0005,1.05e-08,1.793,-7.257257257,9.59e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.237237237,8.75e-07,-4.53e-05
3.0005,1.05e-08,1.793,-7.217217217,7.93e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.197197197,7.85e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.177177177,5.46e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.157157157,6.61e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.137137137,4.41e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.117117117,4.11e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.097097097,3.14e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.077077077,3.2e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.057057057,2.8e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.037037037,1.61e-07,-4.58e-05
3.0005,1.05e-08,1.793,-7.017017017,2.14e-08,-4.58e-05
3.0005,1.05e-08,1.793,-6.996996997,-1.46e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.976976977,1.19e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.956956957,-4.66e-08,-4.58e-05
3.0005,1.04e-08,1.793,-6.936936937,2.98e-08,-4.63e-05
3.0005,1.05e-08,1.793,-6.916916917,-4.47e-08,-4.63e-05
3.0005,1.05e-08,1.793,-6.896896897,-2.46e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.876876877,-3.61e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.856856857,-1.06e-07,-4.63e-05
3.0005,1.05e-08,1.793,-6.836836837,-3.12e-07,-4.58e-05
3.0005,1.04e-08,1.794,-6.816816817,-1.05e-07,-4.63e-05
3.0005,1.05e-08,1.794,-6.796796797,-2.46e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.776776777,-6.61e-08,-4.63e-05
3.0005,1.05e-08,1.793,-6.756756757,-2.16e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.736736737,-2.92e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.716716717,-1.15e-07,-4.63e-05
3.0005,1.05e-08,1.793,-6.696696697,-3.93e-07,-4.58e-05
3.0005,1.04e-08,1.793,-6.676676677,-4.25e-07,-4.58e-05
3.0005,1.04e-08,1.793,-6.656656657,-2.25e-07,-4.63e-05
3.0005,1.05e-08,1.793,-6.636636637,-4.23e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.616616617,-1.68e-07,-4.63e-05
3.0005,1.05e-08,1.793,-6.596596597,-2.91e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.576576577,-1.83e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.556556557,-4.39e-07,-4.58e-05
3.0005,1.04e-08,1.793,-6.536536537,-2.36e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.516516517,-8.29e-08,-4.58e-05
3.0005,1.05e-08,1.793,-6.496496496,-2.12e-07,-4.58e-05
3.0005,1.05e-08,1.793,-6.476476476,-2.98e-07,-4.58e-05
3.0005,1.04e-08,1.793,-6.456456456,-2.68e-07,-4.63e-05
3.0005,1.05e-08,1.793,-6.436436436,-3.35e-08,-4.58e-05
