B_3V,Binv_3V,I_X_3V,Vxx_3V,Rxx_3V,B_5V,Binv_5V,I_X_5V,Vxx_5V,Rxx_5V,B_8V,Binv_8V,I_X_8V,Vxx_8V,Rxx_8V,B_10V,Binv_10V,I_X_10V,Vxx_10V,Rxx_10V,B_13V,Binv_13V,I_X_13V,Vxx_13V,Rxx_13V,B_17V,Binv_17V,I_X_17V,Vxx_17V,Rxx_17V,B_20V,Binv_20V,I_X_20V,Vxx_20V,Rxx_20V,B_33V,Binv_33V,I_X_33V,Vxx_33V,Rxx_33V,B_45V,Binv_45V,I_X_45V,Vxx_45V,Rxx_45V,B_60V,Binv_60V,I_X_60V,Vxx_60V,Rxx_60V
1.0002,0.99980004,2.09E-08,4.48E-07,2.14E+01,2.0004,0.49990002,1.05E-08,1.95E-06,1.86E+02,0.201,4.975124378,5.25E-08,1.06E-06,2.03E+01,0.3002,3.331112592,5.25E-08,8.39E-07,1.60E+01,0.0001,10000,2.10E-08,4.89E-08,2.33E+00,0.2,5,5.24E-08,4.49E-07,8.56E+00,0.9997,1.00030009,2.10E-08,3.00E-07,1.43E+01,0.4,2.50E+00,5.24E-08,1.93E-07,3.67E+00,1.5002,0.6665777896,5.24E-08,2.60E-07,4.95E+00,0.6889,1.45158949,1.05E-07,1.92E-07,1.84E+00
1.0002,0.99980004,2.09E-08,4.57E-07,2.18E+01,2.0004,0.49990002,1.05E-08,1.96E-06,1.87E+02,0.2012,4.970178926,5.25E-08,1.07E-06,2.03E+01,0.3007,3.325573661,5.25E-08,8.72E-07,1.66E+01,0.0002,5000,2.10E-08,4.94E-08,2.35E+00,0.2,5,5.24E-08,4.70E-07,8.96E+00,0.9995,1.00050025,2.10E-08,3.00E-07,1.43E+01,0.4,2.50E+00,5.24E-08,2.02E-07,3.86E+00,1.4998,0.6667555674,5.24E-08,2.56E-07,4.88E+00,0.6001,1.666388935,1.05E-07,1.89E-07,1.80E+00
1.0002,0.99980004,2.09E-08,4.44E-07,2.12E+01,2.0004,0.49990002,1.05E-08,2.11E-06,2.01E+02,0.2014,4.965243297,5.25E-08,1.06E-06,2.02E+01,0.3009,3.323363244,5.25E-08,8.77E-07,1.67E+01,0.0002,5000,2.10E-08,5.54E-08,2.64E+00,0.2001,4.997501249,5.24E-08,4.62E-07,8.81E+00,0.9992,1.000800641,2.10E-08,2.96E-07,1.41E+01,0.4002,2.50E+00,5.24E-08,1.97E-07,3.76E+00,1.4996,0.6668444919,5.24E-08,2.51E-07,4.78E+00,0.6001,1.666388935,1.05E-07,1.79E-07,1.71E+00
1.0002,0.99980004,2.09E-08,4.68E-07,2.23E+01,2.0004,0.49990002,1.05E-08,2.07E-06,1.98E+02,0.2016,4.96031746,5.25E-08,1.06E-06,2.01E+01,0.3011,3.321155762,5.25E-08,8.74E-07,1.67E+01,0.0002,5000,2.10E-08,5.77E-08,2.75E+00,0.2001,4.997501249,5.24E-08,4.64E-07,8.85E+00,0.999,1.001001001,2.10E-08,2.98E-07,1.42E+01,0.4004,2.50E+00,5.24E-08,2.07E-07,3.94E+00,1.4994,0.66693344,5.24E-08,2.56E-07,4.89E+00,0.6005,1.665278934,1.05E-07,1.81E-07,1.72E+00
1.0002,0.99980004,2.09E-08,4.48E-07,2.14E+01,1.9999,0.5000250013,1.05E-08,1.96E-06,1.87E+02,0.2018,4.955401388,5.25E-08,1.06E-06,2.02E+01,0.3013,3.318951211,5.25E-08,8.67E-07,1.65E+01,0.0004,2500,2.10E-08,6.01E-08,2.86E+00,0.2004,4.99001996,5.24E-08,4.68E-07,8.92E+00,0.9988,1.001201442,2.10E-08,2.98E-07,1.42E+01,0.4007,2.50E+00,5.24E-08,1.98E-07,3.77E+00,1.4992,0.667022412,5.24E-08,2.53E-07,4.82E+00,0.6008,1.664447403,1.05E-07,1.87E-07,1.79E+00
1,1,2.09E-08,4.40E-07,2.10E+01,1.9992,0.50020008,1.05E-08,1.92E-06,1.83E+02,0.202,4.95049505,5.25E-08,1.06E-06,2.02E+01,0.3015,3.316749585,5.25E-08,8.61E-07,1.64E+01,0.0004,2500,2.10E-08,6.75E-08,3.21E+00,0.2007,4.982561036,5.24E-08,4.65E-07,8.87E+00,0.9986,1.001401963,2.10E-08,2.92E-07,1.39E+01,0.401,2.49E+00,5.24E-08,2.07E-07,3.94E+00,1.499,0.6671114076,5.24E-08,2.55E-07,4.86E+00,0.601,1.663893511,1.05E-07,1.76E-07,1.68E+00
1,1,2.09E-08,4.56E-07,2.18E+01,1.9984,0.5004003203,1.05E-08,1.88E-06,1.80E+02,0.2022,4.945598417,5.25E-08,1.05E-06,2.00E+01,0.3018,3.313452618,5.25E-08,8.66E-07,1.65E+01,0.0005,2000,2.10E-08,5.45E-08,2.59E+00,0.2009,4.977600796,5.24E-08,4.61E-07,8.78E+00,0.9983,1.001702895,2.10E-08,2.98E-07,1.42E+01,0.4012,2.49E+00,5.24E-08,2.09E-07,3.99E+00,1.4988,0.667200427,5.24E-08,2.56E-07,4.87E+00,0.6013,1.663063363,1.05E-07,1.83E-07,1.74E+00
0.9999,1.00010001,2.09E-08,4.56E-07,2.18E+01,1.9978,0.5005506057,1.05E-08,1.98E-06,1.89E+02,0.2024,4.940711462,5.25E-08,1.06E-06,2.02E+01,0.3019,3.312355084,5.25E-08,8.57E-07,1.63E+01,0.0005,2000,2.10E-08,4.89E-08,2.33E+00,0.2011,4.972650423,5.24E-08,4.63E-07,8.84E+00,0.9981,1.001903617,2.10E-08,2.91E-07,1.38E+01,0.4014,2.49E+00,5.24E-08,2.11E-07,4.03E+00,1.4986,0.6672894702,5.24E-08,2.52E-07,4.81E+00,0.6015,1.662510391,1.05E-07,1.78E-07,1.70E+00
0.9998,1.00020004,2.09E-08,4.49E-07,2.14E+01,1.9971,0.5007260528,1.05E-08,1.98E-06,1.89E+02,0.2026,4.935834156,5.25E-08,1.05E-06,2.00E+01,0.3021,3.310162198,5.25E-08,8.54E-07,1.63E+01,0.0006,1666.666667,2.10E-08,5.59E-08,2.66E+00,0.2013,4.967709886,5.24E-08,4.68E-07,8.92E+00,0.9979,1.002104419,2.10E-08,2.92E-07,1.39E+01,0.4017,2.49E+00,5.24E-08,2.00E-07,3.81E+00,1.4984,0.6673785371,5.24E-08,2.55E-07,4.86E+00,0.6017,1.661957786,1.05E-07,1.84E-07,1.75E+00
0.9998,1.00020004,2.09E-08,4.50E-07,2.15E+01,1.9965,0.5008765339,1.05E-08,2.00E-06,1.91E+02,0.2028,4.930966469,5.25E-08,1.05E-06,2.00E+01,0.3023,3.307972213,5.25E-08,8.53E-07,1.63E+01,0.0006,1666.666667,2.10E-08,6.89E-08,3.28E+00,0.2015,4.962779156,5.24E-08,4.66E-07,8.89E+00,0.9977,1.002305302,2.10E-08,2.92E-07,1.39E+01,0.4018,2.49E+00,5.24E-08,2.00E-07,3.82E+00,1.4982,0.6674676278,5.24E-08,2.49E-07,4.75E+00,0.602,1.661129568,1.05E-07,1.73E-07,1.66E+00
